term,linguistic_group
រឺក៏,Conjunctions
ដឹងច្បាស់,Function Nouns
ផ្តល់ចំអិន,Conjunctions
ផ្តល់ភាពជឿជាក់,Conjunctions
ចូលរួម  ,Conjunctions
នៃ,Prepositions / Relational Words
ឆ្លើយតប  ,Conjunctions
ផ្ដើមពី,Prepositions / Relational Words
ទំនេរជាប្រការ  ,Function Nouns
ផ្តល់មេរៀន,Conjunctions
ផ្ដល់តម្លៃដល់,Conjunctions
ផ្តល់ទំនុកចិត្តក្នុង,Conjunctions
ការបញ្ចប់,Function Nouns
ពុំមាន,Question & Negation Words
អ្នកណា,Pronouns
ទុក,Function Nouns
មិនបានស្រួល,Conjunctions
ផ្តល់ការផ្តោតអារម្មណ៍,Conjunctions
ជិត,Prepositions / Relational Words
សូមបញ្ជាក់  ,Auxiliary Verbs / Aspect Markers
មិនច្បាស់  ,Question & Negation Words
ផ្តល់ការគិតគូរ,Conjunctions
ឆ្លៀតបន្ថែម  ,Conjunctions
ផ្តល់ការផ្តោតអារម្មណ៍,Conjunctions
ចូលទៅ,Conjunctions
ផ្លាស់ប្ដូរត្រឹមត្រូវ,Conjunctions
ផ្ទុយ  ,Function Nouns
ទុកសម្រាក,Function Nouns
របស់នាង,Pronouns
ឆ្លៀតវេលា  ,Conjunctions
ញែក,Function Nouns
ក្នុង,Prepositions / Relational Words
ហេតុអ្វី,Question & Negation Words
អំពី,Prepositions / Relational Words
ធ្វើការងារ  ,Function Nouns
ផ្តល់ការជូនដំណឹង,Conjunctions
ជំរាប,Politeness & Honorifics
មិនបាននិយាយតែ,Auxiliary Verbs / Aspect Markers
ភ្លេចទៅវិញ,Conjunctions
មិនឲ្យសង្ឃឹម  ,Question & Negation Words
អ្នកទាំងអស់,Pronouns
ផ្តល់កម្រិតខ្ពស់,Conjunctions
ចំពោះ  ,Conjunctions
ច្រើនណាស់,Determiners & Quantifiers
ដែល,Conjunctions
គ្រាន់តែ,Particles & Discourse Markers
ពេលដែលអាច,Conjunctions
រហូតដល់,Conjunctions
យ៉ាងណាក៏ដោយ,Conjunctions
ប្រគល់ទៅ,Conjunctions
ឡើង,Function Nouns
ប្រាកដ,Function Nouns
ច្បាស់លាស់,Conjunctions
ដូចជា,Function Nouns
ផ្តល់ភាពងាយស្រួល,Conjunctions
ដូច,Function Nouns
ទាក់ទង  ,Function Nouns
ពោលទៅ,Conjunctions
ភាគបន្ថែម,Determiners & Quantifiers
ផ្តល់សុខភាពនិងសន្តិភាព,Conjunctions
ប្រាក់  ,Function Nouns
ផ្តល់ភាពជោគជ័យ,Conjunctions
តើបែបណា,Question & Negation Words
ទៅជាអ្វី,Function Nouns
ក្បែរនេះ,Prepositions / Relational Words
ឈប់និយាយ,Function Nouns
ផ្តល់សេចក្ដីណែនាំ,Conjunctions
តាមទំលាប់,Conjunctions
ដែលអាច,Conjunctions
ផ្តល់ភាពសំរាប់,Conjunctions
ហាក់នៅ  ,Prepositions / Relational Words
ដកចេញ,Function Nouns
ផ្តល់ការងារអ្នក,Conjunctions
ពេលនេះហើយ,Conjunctions
មិនស្រប  ,Question & Negation Words
ឆ្លើយ,Conjunctions
ធ្វើឲ្យទាន់ពេល  ,Conjunctions
សព្វ,Determiners & Quantifiers
ផ្តល់អារម្មណ៍ដល់គ្នា,Conjunctions
អាចនឹង,Auxiliary Verbs / Aspect Markers
បើក,Function Nouns
នៅតែ,Prepositions / Relational Words
មិនទាន់ចប់  ,Question & Negation Words
ផ្តល់ការជូនដំណឹង,Conjunctions
ទទួល,Conjunctions
ផ្តល់ពេលវេលាឲ្យគ្នា,Conjunctions
ផ្លាស់ប្ដូរនិស្ស័យ,Conjunctions
របស់,Prepositions / Relational Words
ផ្តល់គុណតម្លៃ,Conjunctions
ឆ្លាស់ទៅ,Conjunctions
ប្រាកដថា,Function Nouns
កាន់តែ,Function Nouns
ប្រកបដោយភាព,Function Nouns
មួយភ្លែត,Conjunctions
ឆ្លៀតមក  ,Conjunctions
ទាន់ពេល,Conjunctions
ដល់កន្លែង,Conjunctions
ព្យាយាមយ៉ាងខ្លាំង,Conjunctions
បំពេញការងារ  ,Function Nouns
មិនបាច់ខ្លាំង,Conjunctions
អញ្ចឹង,Conjunctions
ផ្តល់បច្ចេកវិទ្យា,Conjunctions
លើ,Conjunctions
ក្រោយ,Prepositions / Relational Words
ផ្តល់ផ្នែក,Conjunctions
ភ្លឺ,Conjunctions
ឯង,Pronouns
មិនស្អិត  ,Question & Negation Words
ភ្លេចសុំព្យាបាល  ,Conjunctions
ប្រាកដជាទេ,Particles & Discourse Markers
បន្ថយ  ,Function Nouns
ព្រោះហេតុនេះ,Conjunctions
និង,Conjunctions
ពី,Conjunctions
